Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten;Ärzte je  Einwohner;Einwohner je Arzt;Hausärzte;Allgemeinärzte;Internisten;Kinderärzte;Apotheken;Entwicklung Krankenhausbetten
"09377";"Tirschenreuth";"Landkreis";"3,98";"11,1";"897,9";"5,9";"3,8";"0,4";"3,4";"23,4";"-6,5"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"13,37";"27,3";"365,8";"7,5";"4,4";"2,5";"9,5";"40,2";"-1,6"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"18,61";"27,3";"366,3";"8,1";"4,9";"2,4";"14,1";"35,1";"-0,9"
"09463";"Coburg, Stadt";"krsfr. Stadt";"12,42";"24,0";"416,5";"5,3";"2,7";"2,7";"6,3";"36,4";"0,0"
"09464";"Hof, Stadt";"krsfr. Stadt";"10,07";"23,5";"425,5";"9,1";"5,7";"2,0";"5,1";"41,3";"8,3"
"09471";"Bamberg";"Landkreis";"2,12";"8,4";"1.191,7";"5,9";"4,4";"0,8";"4,4";"25,2";"30,3"
"09472";"Bayreuth";"Landkreis";"1,13";"8,5";"1.179,6";"6,3";"3,9";"0,0";"2,2";"28,9";"-6,4"
"09473";"Coburg";"Landkreis";"1,07";"7,9";"1.259,2";"6,4";"4,0";"0,0";"2,7";"25,3";"0,0"
"09474";"Forchheim";"Landkreis";"2,69";"12,7";"786,9";"6,6";"4,6";"0,9";"4,4";"27,7";"0,0"
"09475";"Hof";"Landkreis";"6,17";"10,9";"920,9";"6,7";"5,0";"0,3";"2,7";"29,2";"9,6"
"09476";"Kronach";"Landkreis";"4,17";"12,0";"833,0";"6,8";"5,2";"1,0";"3,9";"31,1";"0,0"
"09477";"Kulmbach";"Landkreis";"7,29";"14,9";"673,0";"7,4";"4,7";"0,8";"3,6";"34,7";"6,1"
"09478";"Lichtenfels";"Landkreis";"11,15";"12,0";"834,7";"6,0";"4,0";"1,2";"3,6";"28,5";"-0,3"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"5,57";"13,3";"749,8";"6,3";"3,7";"1,6";"3,5";"31,3";"-2,9"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"29,59";"27,6";"362,2";"6,5";"4,1";"2,9";"5,4";"38,4";"41,4"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"19,81";"21,3";"470,3";"7,0";"4,5";"2,0";"10,2";"35,1";"3,9"
"09563";"Fürth, Stadt";"krsfr. Stadt";"6,87";"17,9";"559,8";"6,6";"3,4";"1,2";"6,4";"24,5";"3,4"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"6,90";"19,1";"523,6";"7,0";"4,3";"1,6";"6,4";"28,0";"1,7"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"4,18";"17,4";"574,4";"7,6";"5,4";"2,0";"5,3";"34,3";"0,0"
"09571";"Ansbach";"Landkreis";"0,82";"9,4";"1.059,3";"5,4";"3,4";"0,4";"2,7";"26,2";"-73,9"
"09572";"Erlangen-Höchstadt";"Landkreis";"0,85";"12,3";"815,3";"6,6";"4,3";"0,6";"3,6";"22,9";"21,1"
"09573";"Fürth";"Landkreis";"0,00";"12,6";"795,8";"6,5";"4,4";"0,6";"5,1";"21,5";
"09574";"Nürnberger Land";"Landkreis";"5,75";"12,8";"782,3";"6,4";"4,7";"1,0";"4,0";"24,7";"-1,1"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"4,81";"12,6";"790,8";"7,1";"4,5";"0,9";"2,2";"28,1";"6,7"
"09576";"Roth";"Landkreis";"2,15";"10,7";"934,1";"6,2";"4,4";"0,6";"1,8";"21,4";"0,0"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"4,47";"13,0";"772,2";"6,7";"4,4";"1,3";"2,4";"25,5";"0,0"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"13,51";"27,7";"360,5";"6,6";"3,9";"2,9";"7,6";"27,2";"17,5"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"17,45";"28,3";"353,9";"6,5";"3,7";"3,4";"4,2";"44,9";"1,7"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"18,37";"30,5";"328,1";"8,4";"5,3";"2,6";"11,3";"35,5";"-1,3"
"09671";"Aschaffenburg";"Landkreis";"0,24";"8,8";"1.137,1";"6,2";"4,3";"0,2";"4,8";"23,0";"-72,4"
"09672";"Bad Kissingen";"Landkreis";"8,36";"13,3";"753,8";"7,2";"5,3";"1,2";"2,3";"26,1";"-5,4"
"09673";"Rhön-Grabfeld";"Landkreis";"13,84";"14,3";"700,0";"7,0";"5,4";"1,3";"2,8";"27,6";"1,8"
"09674";"Haßberge";"Landkreis";"2,84";"12,1";"828,1";"6,5";"4,6";"0,8";"2,7";"28,4";"0,4"
"09675";"Kitzingen";"Landkreis";"2,73";"12,7";"786,3";"6,4";"4,5";"0,3";"2,5";"28,8";"0,0"
"09676";"Miltenberg";"Landkreis";"2,27";"11,5";"868,1";"6,4";"4,6";"0,7";"4,1";"23,3";"-2,7"
"09677";"Main-Spessart";"Landkreis";"5,24";"12,5";"800,8";"6,8";"4,4";"0,9";"4,4";"23,7";"0,5"
"09678";"Schweinfurt";"Landkreis";"5,21";"8,0";"1.251,1";"5,8";"4,1";"0,3";"2,0";"21,7";"-1,5"
"09679";"Würzburg";"Landkreis";"0,87";"12,0";"831,6";"6,5";"4,6";"0,4";"4,1";"24,2";"7,7"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"10,10";"19,7";"508,4";"6,2";"3,7";"2,0";"6,9";"28,0";"-0,4"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"14,47";"26,2";"381,4";"9,0";"6,2";"3,0";"5,1";"32,2";"-2,0"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"8,89";"24,3";"411,6";"7,6";"4,4";"2,8";"9,1";"27,8";"3,8"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"12,57";"24,4";"410,1";"6,9";"3,9";"2,3";"10,1";"43,7";"0,0"
"09771";"Aichach-Friedberg";"Landkreis";"2,13";"11,7";"855,5";"6,2";"4,4";"0,7";"4,1";"19,6";"-6,7"
"09772";"Augsburg";"Landkreis";"1,20";"11,9";"841,2";"6,5";"4,4";"0,5";"4,5";"22,4";"-21,9"
"09773";"Dillingen a.d.Donau";"Landkreis";"3,35";"11,5";"873,0";"6,0";"4,9";"0,6";"4,6";"21,0";"0,0"
"09774";"Günzburg";"Landkreis";"8,47";"12,3";"813,8";"6,1";"4,2";"0,9";"4,6";"22,5";"-0,3"
"09775";"Neu-Ulm";"Landkreis";"2,40";"13,4";"747,0";"6,4";"4,4";"0,8";"3,7";"21,4";"5,1"
"09776";"Lindau (Bodensee)";"Landkreis";"7,49";"15,0";"665,1";"7,5";"4,6";"1,0";"5,6";"27,1";"13,7"
"09777";"Ostallgäu";"Landkreis";"3,70";"11,0";"910,3";"6,2";"5,0";"0,5";"3,5";"21,5";"-13,4"
"09778";"Unterallgäu";"Landkreis";"3,04";"9,4";"1.063,8";"6,1";"4,6";"0,6";"1,5";"18,9";"5,4"
"09779";"Donau-Ries";"Landkreis";"4,00";"11,8";"847,4";"6,2";"4,1";"0,6";"3,8";"25,6";"3,3"
"09780";"Oberallgäu";"Landkreis";"2,89";"11,7";"854,0";"7,1";"5,4";"0,6";"2,9";"23,9";"-16,4"
"10041";"Regionalverband Saarbrücken";"Landkreis";"7,87";"18,3";"547,5";"6,7";"4,0";"1,5";"6,7";"33,6";"-1,7"
"10042";"Merzig-Wadern";"Landkreis";"4,63";"12,4";"803,5";"6,0";"4,4";"1,3";"2,3";"29,9";"-4,0"
"10043";"Neunkirchen";"Landkreis";"5,22";"14,0";"712,8";"5,6";"3,6";"1,4";"5,8";"35,3";"-2,4"
"10044";"Saarlouis";"Landkreis";"5,09";"15,3";"652,7";"6,5";"3,9";"1,0";"5,5";"36,8";"3,3"
"10045";"Saarpfalz-Kreis";"Landkreis";"10,18";"15,7";"637,3";"6,5";"4,7";"1,4";"6,0";"37,0";"4,9"
"10046";"St. Wendel";"Landkreis";"2,80";"13,5";"738,4";"7,3";"4,4";"1,0";"3,0";"37,6";"2,9"
"11000";"Berlin, Stadt";"krsfr. Stadt";"5,63";"17,9";"560,1";"6,4";"3,5";"1,1";"6,0";"23,6";"0,0"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"12,57";"19,2";"520,9";"6,7";"4,0";"1,9";"10,6";"22,3";"-5,0"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"11,62";"22,8";"439,3";"7,4";"4,4";"2,8";"9,8";"30,7";"-6,9"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"16,20";"22,8";"437,9";"8,1";"4,5";"2,4";"10,0";"24,0";"-1,8"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"9,15";"19,7";"507,8";"6,3";"4,0";"1,8";"7,2";"22,2";"4,1"
"12060";"Barnim";"Landkreis";"6,52";"12,2";"818,4";"5,9";"3,6";"1,1";"3,7";"19,9";"4,0"
"12061";"Dahme-Spreewald";"Landkreis";"6,04";"11,8";"845,0";"6,0";"4,2";"0,5";"4,1";"22,1";"2,6"
"12062";"Elbe-Elster";"Landkreis";"4,45";"12,9";"777,9";"7,1";"4,5";"0,9";"2,5";"27,1";"0,0"
"12063";"Havelland";"Landkreis";"3,02";"11,1";"902,9";"6,0";"3,7";"0,6";"3,6";"19,3";"2,6"
"12064";"Märkisch-Oderland";"Landkreis";"3,47";"12,8";"781,1";"6,0";"3,7";"1,3";"4,8";"22,8";"-2,2"
"12065";"Oberhavel";"Landkreis";"5,24";"12,2";"816,7";"6,2";"3,8";"0,7";"3,5";"22,9";"7,3"
"12066";"Oberspreewald-Lausitz";"Landkreis";"4,58";"12,4";"805,2";"6,3";"4,1";"0,5";"5,5";"26,1";"-1,3"
"12067";"Oder-Spree";"Landkreis";"7,59";"13,2";"755,7";"6,2";"3,5";"0,8";"5,8";"23,5";"2,3"
"12068";"Ostprignitz-Ruppin";"Landkreis";"11,52";"15,0";"666,9";"6,7";"3,8";"1,4";"4,9";"23,1";"-2,2"
"12069";"Potsdam-Mittelmark";"Landkreis";"3,39";"10,5";"951,8";"6,1";"3,8";"0,4";"4,9";"20,2";"8,4"
"12070";"Prignitz";"Landkreis";"4,99";"13,3";"750,1";"6,6";"4,3";"0,4";"3,4";"31,1";"9,0"
"12071";"Spree-Neiße";"Landkreis";"4,48";"10,7";"931,1";"5,7";"3,3";"0,5";"4,5";"22,5";"-4,2"
"12072";"Teltow-Fläming";"Landkreis";"2,97";"11,6";"864,7";"5,9";"3,5";"0,6";"4,9";"22,2";"0,6"
"12073";"Uckermark";"Landkreis";"5,76";"13,3";"752,2";"6,1";"3,3";"1,4";"4,9";"21,6";"-13,2"
"13003";"Rostock, Stadt";"krsfr. Stadt";"7,30";"21,4";"468,3";"6,7";"4,5";"1,9";"11,6";"25,4";"0,6"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"15,17";"22,1";"451,9";"7,4";"5,3";"2,9";"10,3";"29,2";"-3,1"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"6,27";"15,2";"656,4";"7,3";"4,9";"1,3";"4,6";"28,4";"0,2"
"13072";"Landkreis Rostock";"Landkreis";"3,66";"12,3";"813,0";"6,1";"3,8";"0,9";"4,1";"24,2";"-2,1"
"13073";"Vorpommern-Rügen";"Landkreis";"5,05";"14,7";"678,1";"7,1";"4,4";"1,0";"4,4";"29,3";"-2,6"
"13074";"Nordwestmecklenburg";"Landkreis";"3,78";"12,9";"777,2";"6,9";"4,3";"0,6";"4,4";"22,9";"1,2"
"13075";"Vorpommern-Greifswald";"Landkreis";"9,34";"15,5";"646,0";"7,4";"4,7";"1,2";"5,2";"26,6";"-1,2"
"13076";"Ludwigslust-Parchim";"Landkreis";"4,49";"11,5";"871,0";"6,2";"4,0";"0,6";"3,7";"22,6";"1,0"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"9,43";"17,7";"566,2";"6,2";"4,1";"1,8";"7,1";"28,8";"-3,0"
"14521";"Erzgebirgskreis";"Landkreis";"6,01";"12,9";"777,1";"6,0";"3,9";"0,8";"5,3";"29,7";"0,3"
"14522";"Mittelsachsen";"Landkreis";"4,33";"12,5";"802,5";"6,1";"3,7";"0,7";"5,2";"26,6";"-12,7"
"14523";"Vogtlandkreis";"Landkreis";"7,44";"13,8";"724,2";"6,2";"4,1";"0,8";"5,9";"27,0";"0,6"
"14524";"Zwickau";"Landkreis";"6,23";"14,8";"675,1";"6,2";"4,3";"0,9";"6,2";"32,8";"-4,5"
"14612";"Dresden, Stadt";"krsfr. Stadt";"6,98";"17,9";"558,3";"6,5";"3,6";"1,3";"7,1";"21,8";"7,4"
"14625";"Bautzen";"Landkreis";"5,65";"13,7";"727,5";"6,7";"4,3";"0,7";"5,7";"20,5";"-3,5"
"14626";"Görlitz";"Landkreis";"7,04";"13,5";"739,4";"6,4";"4,4";"1,0";"6,3";"24,6";"-6,2"
"14627";"Meißen";"Landkreis";"4,94";"14,3";"699,9";"6,5";"3,9";"1,1";"6,2";"21,8";"-0,2"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"5,23";"12,8";"779,1";"6,2";"3,7";"0,9";"5,9";"20,0";"2,4"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"7,05";"17,5";"572,3";"6,4";"4,3";"1,1";"6,7";"24,6";"-1,7"
"14729";"Leipzig";"Landkreis";"4,40";"13,3";"754,4";"6,9";"4,5";"0,9";"5,6";"25,2";"2,5"
"14730";"Nordsachsen";"Landkreis";"7,22";"13,3";"752,1";"6,5";"4,4";"0,8";"5,9";"27,8";"0,3"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"11,42";"19,9";"503,7";"6,1";"3,5";"2,1";"7,7";"32,9";"-0,3"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"12,43";"20,9";"478,3";"6,6";"4,5";"2,0";"10,2";"32,2";"-2,6"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"9,85";"19,1";"523,0";"6,5";"3,6";"2,0";"7,3";"25,2";"0,6"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"5,04";"10,5";"949,0";"5,3";"2,7";"0,8";"2,8";"27,2";"0,0"
"15082";"Anhalt-Bitterfeld";"Landkreis";"5,33";"13,3";"750,1";"6,7";"4,4";"1,2";"6,6";"29,8";"-2,8"
"15083";"Börde";"Landkreis";"3,57";"11,4";"876,2";"6,3";"4,6";"0,8";"3,6";"24,3";"-6,8"
"15084";"Burgenlandkreis";"Landkreis";"5,99";"13,1";"761,4";"6,7";"4,5";"0,8";"4,7";"30,2";"1,1"
"15085";"Harz";"Landkreis";"7,19";"12,6";"792,3";"5,9";"3,5";"1,2";"6,5";"27,7";"-5,4"
"15086";"Jerichower Land";"Landkreis";"8,30";"10,9";"913,8";"5,4";"3,2";"0,3";"2,7";"21,0";"2,6"
"15087";"Mansfeld-Südharz";"Landkreis";"5,37";"12,6";"793,2";"6,2";"4,3";"1,1";"3,9";"32,6";"-4,1"
"15088";"Saalekreis";"Landkreis";"3,41";"11,9";"843,2";"5,7";"4,2";"0,9";"3,8";"24,8";"-2,3"
"15089";"Salzlandkreis";"Landkreis";"6,71";"13,6";"732,8";"6,7";"3,8";"1,0";"5,8";"29,6";"-6,2"
"15090";"Stendal";"Landkreis";"8,86";"13,5";"739,8";"6,9";"5,4";"1,1";"2,2";"24,7";"-1,0"
"15091";"Wittenberg";"Landkreis";"4,64";"12,2";"818,2";"6,5";"3,4";"0,9";"4,2";"26,8";"-9,1"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"7,92";"19,8";"505,9";"7,3";"4,2";"1,5";"8,5";"24,9";"1,2"
"16052";"Gera, Stadt";"krsfr. Stadt";"10,21";"23,3";"429,2";"7,1";"5,4";"2,5";"9,7";"32,7";"1,4"
"16053";"Jena, Stadt";"krsfr. Stadt";"13,07";"20,5";"487,3";"6,4";"4,1";"1,1";"6,8";"28,8";"0,6"
"16054";"Suhl, Stadt";"krsfr. Stadt";"15,75";"25,3";"395,1";"8,0";"5,1";"2,0";"8,3";"31,3";"-13,0"
"16055";"Weimar, Stadt";"krsfr. Stadt";"8,70";"20,6";"484,4";"7,5";"4,0";"2,0";"7,9";"24,8";"1,8"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"9,30";"23,2";"431,4";"8,2";"5,9";"3,7";"11,1";"39,8";"-1,0"
"16061";"Eichsfeld";"Landkreis";"4,13";"13,5";"740,0";"6,6";"4,1";"0,6";"4,2";"22,9";"-7,3"
"16062";"Nordhausen";"Landkreis";"11,54";"15,8";"632,1";"6,6";"4,3";"1,3";"5,7";"26,0";"-3,1"
"16063";"Wartburgkreis";"Landkreis";"4,22";"11,2";"890,4";"6,6";"5,1";"0,2";"3,8";"22,6";"3,5"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"12,27";"14,5";"690,0";"7,0";"4,7";"1,0";"6,5";"25,1";"9,3"
"16065";"Kyffhäuserkreis";"Landkreis";"5,99";"12,8";"781,6";"6,9";"4,6";"0,4";"3,3";"26,4";"-10,0"
"16066";"Schmalkalden-Meiningen";"Landkreis";"6,52";"14,5";"690,7";"6,4";"4,1";"1,2";"5,5";"26,8";"-10,5"
"16067";"Gotha";"Landkreis";"3,75";"12,3";"811,5";"6,3";"4,6";"0,8";"4,6";"23,6";"-5,6"
"16068";"Sömmerda";"Landkreis";"0,00";"9,3";"1.077,3";"6,0";"4,1";"0,4";"3,3";"24,3";
"16069";"Hildburghausen";"Landkreis";"7,96";"11,9";"841,1";"6,4";"3,8";"0,5";"3,8";"26,6";"-7,9"
"16070";"Ilm-Kreis";"Landkreis";"5,14";"11,2";"892,0";"6,0";"3,5";"0,6";"4,5";"23,9";"-2,8"
"16071";"Weimarer Land";"Landkreis";"12,97";"11,9";"838,1";"6,3";"4,7";"0,4";"5,3";"20,7";"-8,0"
"16072";"Sonneberg";"Landkreis";"6,74";"14,2";"704,5";"7,5";"4,4";"0,5";"4,8";"37,3";"2,4"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"9,18";"13,4";"745,6";"6,7";"4,1";"1,2";"5,7";"34,5";"0,6"
"16074";"Saale-Holzland-Kreis";"Landkreis";"7,73";"10,8";"922,1";"5,8";"4,0";"0,4";"2,9";"24,1";"0,0"
"16075";"Saale-Orla-Kreis";"Landkreis";"1,46";"11,7";"857,9";"6,9";"4,9";"0,4";"3,0";"34,4";"0,0"
"16076";"Greiz";"Landkreis";"4,08";"13,0";"769,6";"6,2";"3,9";"0,7";"6,1";"28,2";"-7,9"
"16077";"Altenburger Land";"Landkreis";"6,56";"14,6";"686,7";"6,6";"4,3";"1,7";"7,9";"25,4";"-5,8"
